date,Equity,ReturnDaily,Abs(ReturnDaily),C2LeverageWght,RetDivLev,RetDivLevRoll180,LevSMA7,RetDivLevSMA7,RetDivLevSMA7_180,DB_LeverageWght180,DB_LeverageWghtSMA7180
2020-05-26,65245.97,-0.008666386,0.008666386,0.46,1.88399702,,0.154285714,5.617102225,,0,0
2020-05-27,64950.28,-0.004531927,0.004531927,0.58,0.781366795,,0.21,2.158060673,,0,0
2020-05-28,64938.28,-0.000184757,0.000184757,0.5,0.036951342,,0.265714286,0.069532095,,0,0
2020-05-29,65235.28,0.004573574,0.004573574,0.5,0.914714711,,0.325714286,1.404167319,,0,0
2020-05-30,65235.28,0,0,0.5,0,,0.385714286,0,,0,0
2020-05-31,65235.28,0,0,0.5,0,,0.445714286,0,,0,0
2020-06-01,65171.86,-0.000972173,0.000972173,0.42,0.231469843,,0.494285714,0.196682467,,0,0
2020-06-02,65233.92,0.000952251,0.000952251,0.38,0.250592494,,0.482857143,0.197211845,,0,0
2020-06-03,65165.98,-0.001041483,0.001041483,0.46,0.226409285,,0.465714286,0.223631257,,0,0
2020-06-04,65024.98,-0.002163706,0.002163706,0.46,0.470370796,,0.46,0.470370796,,0,0
2020-06-05,65392.68,0.00565475,0.00565475,0.38,1.488092082,0.875213431,0.442857143,1.276879013,,0.870351,0
2020-06-06,65399.68,0.000107046,0.000107046,0.38,0.0281699,0.870507634,0.425714286,0.025144944,,0.870508,0
2020-06-07,65399.68,0,0,0.38,0,0.867408954,0.408571429,0,,0.867409,0
2020-06-08,65477.68,0.001192666,0.001192666,0.38,0.313859575,0.858089622,0.402857143,0.29605194,,0.85809,0
2020-06-09,66068.66,0.009025671,0.009025671,0.3,3.008557013,0.863002235,0.391428571,2.305828367,,0.863002,0
2020-06-10,66529.25,0.006971384,0.006971384,0.38,1.83457474,0.872970345,0.38,1.83457474,,0.87297,0
2020-06-11,65843.42,-0.010308699,0.010308699,0.08,12.88587351,0.944558531,0.325714286,3.164951388,1.296270374,0.944559,1.29627
2020-06-12,65833.72,-0.000147319,0.000147319,0.08,0.184149001,0.945581581,0.282857143,0.052082546,1.296559722,0.945582,1.29656
2020-06-13,65833.72,0,0,0.08,0,0.940852585,0.24,0,1.291908482,0.940853,1.291908
2020-06-14,65833.72,0,0,0.08,0,0.935293895,0.197142857,0,1.286458622,0.935294,1.286459
2020-06-15,65936.72,0.001564548,0.001564548,0.08,1.955684716,0.945158479,0.154285714,1.014058742,1.291105591,0.945158,1.291106
2020-06-16,65947.3,0.000160457,0.000160457,0.04,0.401142186,0.942402209,0.117142857,0.136975381,1.286980363,0.942402,1.28698
2020-06-17,66032.62,0.00129376,0.00129376,0.87,0.148708083,0.936986128,0.187142857,0.691322309,1.284731754,0.936986,1.284732
2020-06-18,66276.62,0.003695143,0.003695143,0.87,0.424729126,0.939345735,0.3,1.231714467,1.291574612,0.939346,1.291575
